Sampling Distrbution Example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Probability Mass Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sampling Distribution,,,,,,,,,,,,,Central Limit Theorem
,Population Distribution,Discrete Uniform Distribution,,,,,,,,,,,,,RV,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,min,5,,,,,,,,,,,,p,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sample Mean( Average of ""5000 samples' average"")",,,,,,13.0028,,,,,,,For random samples of size n
,,max,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Variance of ""5000 samples' average""",,,,,,0.590239886,,,,,,,from some random distribution with mean µ and standard deviation σ
,,,,,,,,,,,,,,,Population Mean,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Standard Deviation of ""5000 samples' average""",,,,,,0.768270711,(Also called standard error of the sample mean),,,,,,"the distribution of the sample mean is approximately N(µ,  σ/sqrt(n))"
,,,,,,,,,,,,,,,Population Variance,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Population Standard Deviation,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Error of Sample Mean (based on Pop SD),,,,,,0.798435971,,,,,,,This theorem applies for any distribution as long as µ and  σ are defined.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Error of Sample Mean (based on a sample sd),,,,,,0.750384517,,,,,,,The approximation to normality improves as n increases.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Error of Sample Mean (average of sample sd),,,,,,0.772174491,,,,,,,"In general, n of size 30 or larger is satisfactory."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS: The standard deviation of the sample mean is called the standard error.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If each random sample of size n, is done without replacement, "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Then a finite population correction is required, especially if n is large."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the Central Limit Theorem.,,,,,,,,,,,,,
,Number of Samples,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Size of each sample,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Each row is a sample of size 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This version does not 'refresh'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,,k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Mean of each sample,Variance of each sample,SD for each sample,,,,,,,,,,,
,1,15,14,14,20,14,15,11,20,10,20,15,21,13,14,6,12,12,6,21,8,12,10,5,13,9,16,21,19,17,19,14,9,21,5,11,6,13,11,21,20,,1,17,6,7,17,21,16,9,15,15,8,10,7,20,18,16,14,18,8,16,14,15,17,12,15,19,21,5,13,21,8,11,7,13,10,9,18,14,9,20,19,13.70,22.52307692,4.745848388,,,,,,,,,,,
,2,20,12,16,16,20,13,16,16,14,10,19,9,13,18,12,8,12,8,10,5,12,5,18,16,15,5,5,10,17,20,7,14,10,7,11,15,10,15,20,18,,2,14,18,7,11,7,21,13,14,8,21,6,19,11,12,5,21,20,21,16,21,6,11,5,15,12,11,9,6,12,13,7,9,10,11,11,7,19,5,13,7,12,27.24038462,5.219232186,,,,,,,,,,,
,3,20,17,5,13,18,10,16,13,19,8,17,14,5,19,14,12,20,18,12,10,19,8,15,21,11,12,14,17,6,6,15,6,21,7,17,7,15,12,17,19,,3,9,13,8,18,13,11,21,13,8,6,19,16,12,9,8,13,13,13,19,13,8,11,12,14,9,6,14,18,5,9,20,16,15,10,18,13,13,11,9,14,13,16.41025641,4.050957468,,,,,,,,,,,
,4,18,6,9,19,11,15,6,9,11,13,20,6,21,13,10,21,21,6,19,17,19,20,6,19,19,16,16,5,20,14,9,17,5,14,10,11,7,19,12,17,,4,16,11,11,7,20,20,19,20,5,14,12,13,13,6,10,9,6,5,13,9,5,19,5,14,8,19,13,8,6,11,16,11,6,13,9,7,10,20,11,11,12,23.1275641,4.809112611,,,,,,,,,,,
,5,21,21,13,20,21,17,5,21,6,12,10,15,18,10,21,17,19,9,10,11,7,13,14,7,7,17,13,20,19,20,18,13,11,13,14,13,14,19,13,10,,5,16,5,8,14,11,17,13,17,8,20,11,11,11,12,12,21,8,17,14,16,14,14,16,15,7,18,8,15,11,10,5,13,17,7,13,14,21,14,21,18,13,18.53269231,4.30496136,,,,,,,,,,,
,6,10,17,6,15,19,7,15,13,12,13,15,21,8,12,20,17,9,14,20,21,18,14,5,10,14,14,12,13,21,9,19,6,17,11,16,11,12,12,13,14,,6,8,18,11,10,15,5,12,21,11,6,8,12,7,6,20,7,20,11,13,7,9,11,5,16,15,5,15,21,11,9,20,11,13,5,9,13,5,5,20,18,12,26.65641026,5.162984627,,,,,,,,,,,
,7,12,11,5,17,9,16,15,8,17,7,10,14,15,17,15,5,11,15,5,5,15,12,16,19,6,9,11,11,12,21,10,13,6,21,8,21,18,16,14,20,,7,18,16,20,15,10,10,16,14,6,11,5,6,17,7,21,18,9,21,19,17,12,18,8,13,6,9,12,14,15,13,19,14,13,10,17,6,5,13,13,12,13,21.84358974,4.67371263,,,,,,,,,,,
,8,8,15,7,6,12,7,16,19,19,8,13,21,5,19,8,16,6,12,11,11,16,7,7,17,10,20,13,21,6,8,21,8,9,16,10,10,20,19,6,5,,8,18,10,20,16,5,15,20,11,15,16,12,9,20,21,12,15,12,21,5,7,13,17,18,6,10,17,17,19,5,13,14,13,19,7,18,19,9,5,18,17,14,25.20769231,5.020726273,,,,,,,,,,,
,9,20,8,20,9,13,19,5,21,10,7,21,16,21,9,21,8,5,7,12,5,9,5,13,15,10,5,9,20,17,21,7,7,13,6,6,14,9,7,19,6,,9,8,7,12,10,6,14,6,20,9,13,14,8,17,6,21,9,6,20,17,15,15,15,20,21,20,18,9,9,5,16,7,11,9,11,12,20,11,5,6,7,12,27.08653846,5.204472928,,,,,,,,,,,
,10,20,9,19,17,16,21,5,17,11,21,12,17,16,7,6,6,20,15,11,14,7,15,15,21,6,6,7,18,7,6,7,11,11,10,12,9,7,6,8,7,,10,10,18,14,8,17,14,7,10,15,19,14,17,10,17,15,5,18,9,11,15,9,16,11,16,14,8,18,17,12,15,18,19,15,14,16,8,14,21,6,9,13,16.71730769,4.088680434,,,,,,,,,,,
,11,19,14,19,19,11,9,20,10,6,16,18,20,19,10,19,17,10,8,18,13,14,19,18,20,21,10,8,16,15,18,6,16,19,9,7,20,14,19,6,15,,11,17,18,14,21,12,7,20,6,14,6,10,11,21,11,5,6,18,17,11,17,6,12,11,19,13,17,19,18,8,15,7,16,19,17,5,17,14,5,11,8,13,25.97371795,5.096441695,,,,,,,,,,,
,12,11,11,7,16,6,21,21,6,11,18,21,19,12,17,15,20,6,9,7,9,5,9,14,21,11,20,7,18,5,21,14,6,15,19,5,7,6,14,12,21,,12,14,11,17,20,12,21,10,10,9,16,7,14,8,21,14,15,18,10,5,19,17,11,7,18,21,9,17,20,19,12,10,7,6,18,17,19,5,21,12,17,14,25.46410256,5.046196842,,,,,,,,,,,
,13,9,7,18,14,20,9,19,5,7,17,19,10,8,17,19,11,12,15,5,15,18,7,21,7,11,6,10,17,13,9,10,18,13,19,19,17,7,9,7,6,,13,12,15,8,17,20,18,10,8,16,10,6,6,20,12,19,7,19,14,11,17,17,7,7,20,18,11,18,10,6,7,7,21,18,7,16,8,11,13,18,11,13,24.65641026,4.965522153,,,,,,,,,,,
,14,13,13,15,12,21,13,14,10,16,14,21,20,8,5,7,5,17,8,12,7,12,19,5,17,13,10,20,5,20,14,11,19,21,5,15,20,11,14,10,11,,14,13,18,12,14,8,13,9,6,15,12,5,18,15,17,15,20,11,11,18,18,5,5,17,15,12,13,19,9,7,20,8,10,7,8,10,6,20,5,10,21,12,24.39423077,4.939051606,,,,,,,,,,,
,15,11,19,14,14,7,11,21,16,15,15,21,8,6,19,8,12,6,20,5,19,10,17,10,6,9,5,6,16,6,5,17,15,5,13,18,7,14,14,8,8,,15,10,6,18,6,16,21,7,12,13,12,21,19,5,13,8,9,17,17,8,18,18,7,10,20,16,16,14,19,20,11,15,13,18,9,8,14,6,7,15,20,13,24.67692308,4.967587249,,,,,,,,,,,
,16,10,11,9,8,12,10,20,19,6,21,12,10,18,11,8,17,21,9,16,12,19,21,13,19,12,18,19,7,10,9,9,9,5,20,14,11,7,14,7,10,,16,11,17,17,16,11,13,16,15,8,5,19,9,10,14,10,20,17,7,15,7,11,5,7,11,17,9,9,14,15,13,19,19,9,18,21,18,13,13,7,13,13,19.53589744,4.419943148,,,,,,,,,,,
,17,5,14,9,15,16,6,17,6,21,14,15,7,20,7,16,8,9,7,14,12,8,11,15,13,8,5,21,6,6,6,11,5,10,11,16,18,12,5,7,10,,17,10,10,6,11,13,9,15,10,8,6,17,10,17,10,12,10,13,7,5,20,17,17,5,9,13,7,17,11,18,5,8,21,5,20,20,7,6,16,13,20,12,25.15641026,5.015616638,,,,,,,,,,,
,18,12,14,16,9,5,17,15,11,12,7,14,20,13,7,19,9,21,15,19,6,20,8,8,10,11,16,17,12,7,10,14,13,21,15,15,7,17,5,17,14,,18,21,15,10,15,7,18,16,6,16,20,5,11,15,18,18,14,18,17,21,7,13,9,15,11,10,5,5,6,15,5,18,16,13,9,14,9,12,5,9,6,12,25.09679487,5.009670136,,,,,,,,,,,
,19,10,12,8,18,13,9,9,21,15,20,15,15,12,17,7,8,5,20,17,7,19,18,20,9,16,18,17,19,7,12,17,15,20,20,15,21,6,7,21,20,,19,18,7,5,7,9,12,6,12,14,16,17,15,17,10,11,7,12,9,18,21,11,19,6,6,6,21,12,8,10,21,7,5,11,8,16,14,19,18,8,18,12,25.68653846,5.068188874,,,,,,,,,,,
,20,9,10,7,20,8,21,18,18,5,14,14,5,16,11,18,16,9,9,8,19,10,9,15,5,15,20,17,13,15,17,8,12,20,11,12,13,16,18,5,5,,20,10,7,16,12,5,12,8,12,13,8,21,5,21,12,17,21,18,20,16,18,16,20,18,19,16,20,17,7,21,9,19,9,18,12,17,11,10,21,19,11,15,25.02307692,5.00230716,,,,,,,,,,,
,21,9,17,20,16,17,13,12,5,13,6,14,12,17,6,8,9,13,7,20,14,15,15,15,13,5,19,14,7,19,10,14,8,20,13,6,19,6,15,11,17,,21,11,9,9,17,21,19,17,5,15,9,7,20,16,18,7,19,13,16,10,13,11,14,19,17,21,21,8,10,12,8,11,7,16,16,15,15,11,17,12,21,14,21.27628205,4.612622036,,,,,,,,,,,
,22,19,18,15,13,18,18,17,10,12,9,10,7,13,16,21,12,9,15,18,12,8,7,12,9,6,5,19,8,7,9,14,11,8,17,9,19,18,10,8,15,,22,19,20,5,15,20,7,7,8,7,19,11,20,18,18,10,6,16,14,12,7,10,7,12,16,21,19,18,11,9,9,6,5,10,19,13,5,8,15,6,8,12,27.97692308,5.289321608,,,,,,,,,,,
,23,12,5,10,20,12,14,16,9,16,7,19,11,18,8,7,21,18,9,15,15,5,18,21,14,10,16,13,14,10,16,12,12,15,19,5,19,18,14,13,21,,23,5,19,20,13,6,7,16,8,12,10,18,13,9,5,15,18,16,17,20,20,8,5,10,8,13,14,5,12,21,21,13,21,13,20,20,21,7,8,10,11,13,29.4974359,5.431154196,,,,,,,,,,,
,24,6,20,13,16,11,12,10,6,14,6,5,17,10,15,11,17,19,11,9,7,12,7,13,14,7,11,5,16,8,15,10,6,16,18,6,16,6,6,16,20,,24,16,18,20,13,6,14,17,15,10,12,15,8,12,12,13,21,15,9,17,18,5,12,13,18,5,18,5,5,14,14,17,7,16,11,9,18,13,10,21,18,13,21.26923077,4.611857627,,,,,,,,,,,
,25,10,19,5,16,7,15,7,11,13,8,17,8,10,9,5,21,9,5,19,14,11,6,19,7,9,6,20,10,14,10,16,5,15,7,17,14,9,17,16,17,,25,18,20,9,21,11,21,5,14,13,19,14,7,15,14,8,16,11,10,13,9,19,13,14,14,14,14,9,9,18,20,18,21,20,5,18,18,8,11,5,21,14,24.3275641,4.932298055,,,,,,,,,,,
,26,20,5,17,20,21,14,21,17,20,10,10,16,6,11,12,16,14,20,9,18,17,7,17,18,18,14,20,6,18,15,11,21,7,14,15,6,13,14,21,10,,26,13,16,11,20,19,11,13,5,7,20,21,17,5,7,7,15,15,20,13,8,12,7,8,10,17,18,16,9,13,10,12,17,15,9,17,7,18,15,8,16,13,21.71217949,4.659632978,,,,,,,,,,,
,27,21,20,9,8,11,11,16,17,12,7,7,21,15,14,18,7,7,11,6,10,16,7,13,11,18,15,5,21,11,12,5,15,13,10,5,19,6,20,19,7,,27,7,19,10,9,19,18,11,9,16,18,10,5,12,19,12,7,8,9,9,15,11,15,13,10,11,13,19,11,12,7,7,18,14,17,9,10,17,14,11,6,12,17.01987179,4.125514731,,,,,,,,,,,
,28,13,20,12,7,14,9,9,14,16,8,18,15,11,18,13,16,10,7,20,21,8,13,19,11,7,10,8,18,7,7,8,7,12,16,18,12,21,17,14,21,,28,14,15,5,13,15,5,13,12,11,6,8,6,7,8,16,19,7,6,8,8,18,10,14,7,17,20,13,14,19,20,10,10,5,10,18,6,10,7,16,16,12,22.35641026,4.728256577,,,,,,,,,,,
,29,7,12,8,17,15,16,19,17,11,14,19,18,19,18,15,13,17,15,20,14,10,12,18,11,18,5,17,17,17,17,8,21,16,12,10,6,11,15,5,9,,29,15,21,20,9,18,14,15,20,8,18,15,10,20,20,20,6,5,13,13,9,16,10,19,9,8,14,14,13,8,17,21,19,17,7,9,14,6,11,6,16,14,24.50705128,4.950459704,,,,,,,,,,,
,30,19,9,20,13,11,9,11,6,10,6,7,6,13,6,7,7,13,9,12,11,21,15,13,14,9,6,17,14,21,20,18,15,17,5,10,6,17,18,20,15,,30,20,6,8,7,18,11,9,17,20,16,9,11,8,13,5,16,10,19,19,10,8,10,7,17,19,17,12,6,10,7,11,9,10,8,8,13,13,21,19,16,12,22.78910256,4.77379331,,,,,,,,,,,
,31,14,12,16,15,15,10,19,11,6,11,17,17,21,15,18,19,12,5,17,7,11,7,12,20,8,5,18,6,9,7,19,19,18,16,15,11,18,13,6,17,,31,17,18,14,16,16,15,16,17,9,20,19,10,21,17,9,9,19,12,17,5,5,21,12,16,8,10,9,9,5,11,9,13,9,13,7,7,15,12,21,12,13,22.41025641,4.733947234,,,,,,,,,,,
,32,11,15,20,18,15,20,5,8,5,13,19,14,18,21,16,11,12,15,20,21,14,7,9,16,6,19,19,9,18,7,6,17,9,11,21,21,21,6,9,13,,32,5,17,7,6,19,11,11,12,13,5,5,7,5,19,5,7,17,10,10,8,6,5,13,19,18,9,21,8,18,16,21,14,9,8,14,20,15,18,5,10,12,29.0025641,5.385402873,,,,,,,,,,,
,33,20,14,12,7,20,9,18,10,16,14,20,10,21,13,10,10,21,11,15,10,5,20,20,6,12,18,11,9,13,21,15,6,16,20,7,20,19,19,17,18,,33,14,5,7,9,16,18,15,13,19,19,16,21,15,11,19,13,12,7,11,16,12,6,13,6,20,21,12,12,20,16,15,12,15,20,5,10,8,15,20,11,14,22.13782051,4.705084538,,,,,,,,,,,
,34,6,13,6,8,18,11,16,6,20,16,7,9,18,17,6,10,10,12,12,18,11,20,11,7,21,17,5,14,13,15,19,10,6,19,8,10,13,21,20,17,,34,11,16,13,9,16,10,10,21,9,20,16,6,18,11,12,20,18,6,15,6,9,12,14,17,7,13,11,19,9,9,5,19,15,6,7,9,16,5,9,21,12,23.93269231,4.8921051,,,,,,,,,,,
,35,21,16,13,20,10,12,16,9,18,11,5,9,15,19,18,19,12,13,10,12,10,19,10,11,7,20,8,11,15,8,9,6,19,10,15,15,13,5,11,19,,35,12,17,14,7,8,19,5,17,20,9,14,5,11,10,14,11,20,17,18,21,7,7,21,12,14,5,6,18,9,11,8,21,14,18,14,12,12,12,17,20,13,25.01987179,5.001986785,,,,,,,,,,,
,36,10,6,19,20,17,18,13,21,9,13,18,13,12,15,14,5,7,14,13,14,17,12,19,18,9,10,8,6,19,18,9,12,15,20,17,7,19,19,19,14,,36,21,21,15,7,17,9,20,19,11,19,17,6,15,6,19,7,19,20,6,12,7,19,6,6,8,21,12,8,8,17,12,12,12,21,17,6,13,9,14,13,13,28.81474359,5.367936623,,,,,,,,,,,
